Place,WeightClassKg,Division,Sex,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
2,82.5,Master 1,M,Tasufumi Nakao,1948,JPN,82.1,265,272.5,272.5,272.5,152.5,160,170,170,260,267.5,270,270,712.5,SBD,Single-ply
3,82.5,Master 1,M,John Tyree,1953,USA,81.4,237.5,237.5,262.5,262.5,152.5,162.5,162.5,162.5,252.5,272.5,292.5,292.5,697.5,SBD,Single-ply
4,82.5,Master 1,M,David Barnes,1947,GBR,80.1,235,247.5,252.5,252.5,135,145,150,150,290,300,300,300,692.5,SBD,Single-ply
5,82.5,Master 1,M,Harry v.d. Brand,1946,NED,80.6,260,267.5,272.5,272.5,157.5,162.5,165,165,260,272.5,275,275,690,SBD,Single-ply
6,82.5,Master 1,M,Wilfried Dörner,1952,GER,81.2,240,250,250,250,170,177.5,182.5,182.5,240,247.5,,247.5,667.5,SBD,Single-ply
7,82.5,Master 1,M,Terje Edvardsen,1954,NOR,79.8,230,240,250,250,120,125,127.5,127.5,255,260,265,265,637.5,SBD,Single-ply
8,82.5,Master 1,M,Will Lincoln,1950,GBR,82.2,230,245,250,250,142.5,150,152.5,152.5,215,227.5,235,235,630,SBD,Single-ply
9,82.5,Master 1,M,Herbert Sattler,1954,AUT,81.9,230,242.5,242.5,242.5,145,152.5,155,155,235,245,245,245,620,SBD,Single-ply
10,82.5,Master 1,M,Göran Lundberg,1954,SWE,80.9,225,,235,235,130,135,140,140,230,240,250,250,610,SBD,Single-ply
11,82.5,Master 1,M,Joachim Lehmann,1949,GER,82.3,177.5,187.5,192.5,192.5,120,125,130,130,217.5,230,237.5,237.5,552.5,SBD,Single-ply
12,82.5,Master 1,M,Tom Steward,1948,CAN,81.2,190,190,195,195,115,120,120,120,215,230,237.5,237.5,545,SBD,Single-ply
13,82.5,Master 1,M,Arun Padelkar,1954,IND,82.2,220,230,230,230,100,100,100,100,225,240,,240,545,SBD,Single-ply
DD,,Master 1,M,Pietro Andreatta,1950,ITA,81.7,,,,,,,,,,,,,,SBD,Single-ply
1,90,Master 1,M,James Cash,1949,USA,89.3,245,262.5,275,275,165,165,177.5,177.5,275,295,315,315,735,SBD,Single-ply
2,90,Master 1,M,Siegmund Schiebe,1953,GER,88.4,245,255,260,260,145,150,155,155,270,280,285,285,690,SBD,Single-ply
3,90,Master 1,M,Martin Brown,1951,USA,89.6,240,240,272.5,272.5,142.5,150,150,150,250,282.5,290,290,680,SBD,Single-ply
4,90,Master 1,M,Karlis Bulans,1952,LAT,88.1,230,245,250,250,140,145,145,145,280,290,295,295,675,SBD,Single-ply
5,90,Master 1,M,Karl Christensen,1950,DEN,88.4,250,270,280,280,140,147.5,152.5,152.5,250,265,265,265,672.5,SBD,Single-ply
6,90,Master 1,M,Rein Van Kesteren,1954,CAN,89.7,242.5,255,260,260,142.5,152.5,157.5,157.5,240,252.5,265,265,660,SBD,Single-ply
7,90,Master 1,M,Junzo Itoh,1954,JPN,89.2,205,215,225,225,185,190,190,190,225,235,235,235,650,SBD,Single-ply
8,90,Master 1,M,Manfred Vetter,1952,GER,89.1,240,240,250,250,130,135,137.5,137.5,260,270,275,275,645,SBD,Single-ply
9,90,Master 1,M,Flossi Jonsson,1954,ISL,88.9,230,245,245,245,145,155,155,155,225,250,,250,635,SBD,Single-ply
DQ,90,Master 1,M,Anders Carlsson,1952,SWE,88.2,230,230,230,230,,,,,,,,,,SBD,Single-ply
DQ,90,Master 1,M,Harry Vestergaard,1953,DEN,89.9,170,185,190,190,130,140,150,150,230,230,230,230,,SBD,Single-ply
1,100,Master 1,M,Vasily Mazhuta,1947,RUS,99.8,245,255,260,260,175,180,185,185,270,280,285,285,730,SBD,Single-ply
2,100,Master 1,M,Kjell Fransson,1955,SWE,99.4,245,262.5,272.5,272.5,150,162.5,170,170,230,255,260,260,702.5,SBD,Single-ply
3,100,Master 1,M,Jan Onslatt,1950,SWE,94.7,255,262.5,270,270,165,170,172.5,172.5,255,255,255,255,697.5,SBD,Single-ply
4,100,Master 1,M,Josef Micka,1949,CZE,99.1,210,240,,240,165,172.5,180,180,270,280,280,280,690,SBD,Single-ply
5,100,Master 1,M,Roger Scott,1948,GBR,99.9,245,245,260,260,145,152.5,160,160,250,272.5,280,280,685,SBD,Single-ply
6,100,Master 1,M,Will Crossen,1953,USA,96.8,227.5,227.5,255,255,190,210,210,210,252.5,260,272.5,272.5,677.5,SBD,Single-ply
7,100,Master 1,M,Leif Sydengen,1955,NOR,97,225,235,245,245,180,190,192.5,192.5,225,240,245,245,675,SBD,Single-ply
8,100,Master 1,M,Helmut Platzer,1951,GER,99.5,250,250,260,260,140,145,145,145,250,270,275,275,665,SBD,Single-ply
9,100,Master 1,M,Franz Seul,1948,LUX,99.4,242.5,247.5,252.5,252.5,160,165,170,170,245,252.5,252.5,252.5,662.5,SBD,Single-ply
10,100,Master 1,M,Carl Korsgaard,1953,DEN,98.7,200,225,235,235,130,140,145,145,230,250,260,260,630,SBD,Single-ply
11,100,Master 1,M,Josef Teslar,1949,SVK,96.9,215,225,240,240,152.5,160,160,160,215,225,235,235,610,SBD,Single-ply
1,110,Master 1,M,Ferry v.d. Meulen,1947,NED,105.4,280,300,300,300,180,190,195,195,280,290,302.5,302.5,765,SBD,Single-ply
2,110,Master 1,M,Seppo Mikkola,1950,FIN,101.4,285,295,295,295,185,185,187.5,187.5,260,275,275,275,730,SBD,Single-ply
3,110,Master 1,M,Jan Siska,1955,SVK,107.9,255,265,,265,150,162.5,170,170,270,280,300,300,705,SBD,Single-ply
4,110,Master 1,M,Arne Nommerstad,1954,NOR,105.4,250,262.5,267.5,267.5,150,155,160,160,260,270,270,270,687.5,SBD,Single-ply
5,110,Master 1,M,Juha Reinikka,1955,FIN,108.3,220,230,240,240,150,155,165,165,280,292.5,295,295,687.5,SBD,Single-ply
6,110,Master 1,M,Robert Oren,1950,NOR,102.7,235,245,250,250,150,155,160,160,250,260,265,265,670,SBD,Single-ply
7,110,Master 1,M,Lennart Engbe,1948,SWE,105.2,235,245,252.5,252.5,150,160,165,165,240,265,265,265,670,SBD,Single-ply
