-52,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kaelin/Hans-Juerg/69,82.4,Switzerland,,,,,220,,,150,,,270,,,640,...,429.05,,,,,,,
22,Hung/Tang,Chih/76,,,81.3,Chin.Taipei,,,,,210,,,130,,,260,,,600,...,405.54,,,,
--.,Bakhshaliev/Ramis/71,77.7,Turkmenistan,,,,0,,,0,,,0,,,---.-,Disq,0,,,,,,,,
--.,Hsieh/I-Ching/71,,,80.9,Chin.Taipei,,,,,0,,,0,,,0,,,---.-,Disq,0,,,,,
--.,Ivanushins/Yuris/60,,81,Latvia,,,,,,,250,,,162.5,,,0,,,---.-,Disq,0,,,,
--.,Turesson/Patrik/74,,82,Sweden,,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,,
--.,Santos/Manuel/62,,,82.2,Portugal,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,,
--.,Petrischor/Christ/59,82.2,Austria,,,,,,,270,,,192.5,CRM,260,,,---.-,Disq,Doping,,,,,,
-90,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tarasenko/Andrei/75,,89.6,Russia,,,,,,,345,,,247.5,.CR,342.5,,,935,.NB,598.21,,,,,
2,Fedenko/Dimitri/75,,89.3,Russia,,,,,,,337.5,,,215,,,330,,,882.5,.NB,565.68,,,,
3,Romanenko/Sergiy/72,,90,Ukraina,,,,,,,355,,,195,,,330,.NB,880,...,561.79,,,,,
4,Stiklestad/Erik/70,,89.8,Norway,,,,,,,335,,,197.5,.NB,335,,,867.5,...,554.41,,,,,
5,Szymkowiak/Roman/59,,89.6,Poland,,,,,,,310,,,210,.NB,345,,,865,...,553.42,,,,,
6,Theuser/Petr/61,,,,89.6,Czechia,,,,,,,340,,,212.5,,,310,,,862.5,...,551.82,,
7,Benemerito/Ray/67,,,89.6,US.America,,,,,310,,,222.5,,,320,,,852.5,...,545.42,,,,,
8,Bettati/Stefano/70,,89.5,Italy,,,,,,,,325,,,172.5,,,315,,,812.5,...,520.16,,,
9,Krokkee/Erwin/66,,,89.9,Holland,,,,,,,300,,,227.5,.NB,285,,,812.5,...,519.02,,,,
10,Desachy/Dominique/65,89.4,France,,,,,,,307.5,,,210,,,292.5,,,810,...,518.88,,,,,
11,Sohlman/Jarmo/69,,,89.8,Finland,,,,,,,300,,,205,,,305,,,810,...,517.67,,,
12,Gecas/Andrius/74,,,87.6,Lithuania,,,,,,320,,,195,,,290,,,805,...,521.23,,,,
13,Vincenti/Paolo/69,,,89.6,Italy,,,,,,,,322.5,,,175,,,307.5,,,805,...,,,
14,Welna/Krysztof/71,,,90,Poland,,,,,,,305,,,190,,,310,,,805,.NB,513.91,,,
15,Hausburg/Frank/71,,,89.6,Germany,,,,,,,312.5,.NB,177.5,,,310,,,800,...,511.84,,,,
16,Beligov/Alexander/71,89.4,Kazahkstan,,,,,310,,,175,,,285,,,770,...,493.26,,,,,,,
17,Kalic/Francois/65,,,89.4,France,,,,,,,292.5,,,182.5,,,295,,,770,...,493.26,,,
18,Kholnazarov/Tole/75,,89,Tatjikistan,,,,,260,,,185,,,310,,,755,...,484.78,,,,,,
19,Hornik/Jiri/78,,,,87,Czechia,,,,,,,280,,,190,,,280,,,750,...,487.42,,
20,Vasilev/Venelin/75,,83.7,Bulgaria,,,,,,260,,,160,,,295,,,715,...,474.9,,,,,
21,Luzanov/Alexander/52,87.3,Uzbekistan,,,,,270,,,170,,,275,.NR,715,.NR,463.82,,,,,,,,
22,Singer/Richard/63,,,82.9,Austria,,,,,,,245,,,195,,,270,,,710,...,474.28,,,
23,Gomez/Victor/60,,,,88.2,Mexico,,,,,,,250,,,155,,,300,,,705,...,454.79,,
24,Miranda/Lawrence/70,,89.3,Brazil,,,,,,,235,,,170,,,300,,,705,.NB,451.9,,,,
25,Hernandez/Carlos,65,86.9,Venezuela,,,,,,280,,,180,,,240,,,700,...,455.21,,,,,
26,Nas/Stephen/63,,,,88.3,Australia,,,,,,252.5,,,165,,,265,,,682.5,...,440,,,
27,Salazar/Saul,Edua/68,88.4,Colombia,,,,,,245,,,160,,,270,,,675,...,434.97,,,,,
28,Teixeira/Jose/70,,,85,Portugal,,,,,,232.5,,,150,,,267.5,,,650,...,427.89,,,,
--.,Shnier/Adrien/64,,,85.6,Australia,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,,
--.,AlEmiry/Rashed/70,,,88.8,Un.Emirates,,,,,270,,,0,,,0,,,---.-,Disq,173.55,,,,,
-100,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
1,Suslov/Nikolai/79,,,99.2,Russia,,,,,,,380,WRJ,230,,,342.5,.NB,952.5,.NB,581.59,,,,,
2,Soloviov/Olexiy/75,,99.8,Ukraina,,,,,,,377.5,,,240,,,335,,,952.5,.NB,580.16,,,,
3,Harris/Tony/64,,,,99.6,US.America,,,,,352.5,,,215,,,350,,,917.5,.NB,559.3,,,,
4,Ukhach/Volodimir/60,,98.9,Ukraina,,,,,,,350,,,240,,,325,,,915,...,559.33,,,,
5,Buttigieg/Frederi/64,99.9,France,,,,,,,345,,,232.5,,,307.5,,,885,...,538.78,,,,,
6,Christoffersen/Ca/68,100,Norway,,,,,,,340,,,227.5,,,312.5,,,880,...,535.56,,,,,
7,Palokangas/Jani,P/76,99.2,Finland,,,,,,,342.5,,,197.5,,,310,,,850,...,519.01,,,,
8,Woodside/Kevin/64,,,98.2,Bahamas,,,,,,,320,,,200,,,322.5,,,842.5,...,516.53,,,
9,Neselius/Ola/67,,,,97.7,Sweden,,,,,,,290,,,205,,,310,,,805,...,494.59,,
10,Baldi/Federico/69,,,99.6,Italy,,,,,,,,290,,,197.5,,,297.5,,,785,...,478.53,,
11,Simmoneta/Vince/60,,99.6,Australia,,,,,,300,,,160,,,320,,,780,...,475.48,,,,,
12,Calderini/Manuel/63,,93.8,Luxembg,,,,,,,305,,,182.5,,,287.5,,,775,.NB,484.91,,,,
13,Vorup/Stephan/73,,,99.6,Denmark,,,,,,,305,,,165,,,292.5,,,762.5,.NB,464.82,,,
14,Nugteren/Marcel,v/68,99.5,Holland,,,,,,,260,,,205,,,292.5,,,757.5,...,461.92,,,,
15,Lin/Sen,Shan/77,,,,97.2,Chin.Taipei,,,,,300,,,185,,,270,,,755,...,464.92,,,
16,Karpenko/Sergey/72,,99.3,Kazahkstan,,,,,312.5,,,172.5,,,250,,,735,.NB,448.57,,,,,,
17,Pereira/Ricardo/72,,97.9,Portugal,,,,,,280,,,160,,,290,,,730,...,448.14,,,,,
18,Weatherbie/Darren/75,94,Canada,,,,,,,255,,,192.5,,,280,,,727.5,...,454.68,,,,,
19,Gerold/Bernhard/69,,98.7,Austria,,,,,,,275,,,180,,,272.5,,,727.5,...,445.08,,,,
20,Lousich/Stephen/65,,99.8,New,Zeeland,,,,,282.5,,,192.5,,,252.5,,,727.5,...,443.12,,,,,
21,Inglese/Fiore/62,,,99.8,Australia,,,,,,275,,,147.5,,,287.5,,,710,...,432.46,,,,
22,Thangiarajan/M./68,,99.8,India,,,,,,,,275,,,140,,,270,,,685,...,417.23,,,
23,Sojer/Sandi/60,,,,94.2,Slovenia,,,,,,215,,,160,,,230,,,605,...,377.76,,,
24,Selem/Ramirez/65,,,95.6,Peru,,,,,,,,200,,,140,,,200,,,540,...,334.96,,
--.,Martins/Pedro/79,,,91,Portugal,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,,
--.,Kichi/Firas/72,,,,98.2,Spain,,,,,,,,0,,,0,,,0,,,---.-,Disq,0,
--.,Voso/Christian/74,,,98.8,Italy,,,,,,,,0,,,0,,,0,,,---.-,Disq,0,,
--.,Rantanen/Pauli,Ka/66,99.1,Finland,,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,,
--.,Hiragishi/Yuji/67,,,99.1,Japan,,,,,,,,0,,,0,,,0,,,---.-,Disq,0,,
--.,Phelan/Patrick/75,,,99.4,Ireland,,,,,,,210,,,140,,,0,,,---.-,Disq,213.53,,,
-110,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ivanenko/Volodymy/55,109.7,Ukraina,,,,,,,415.5,WR,,220,,,345,.NB,980,WRM,577.22,,,,,,
2,Gankov/Alexei/70,,,109,Russia,,,,,,,360,,,240,,,350,,,950,...,560.69,,,
3,Henry/Clive/66,,,,109.7,G.,Britain,,,,,370,,,212.5,,,325,,,907.5,...,534.51,,,
4,Arvai/Istvan/72,,,,104.6,Hungary,,,,,,,330,,,220,,,340,,,890,...,532.57,,
5,Pronier/Remi/64,,,,108.8,France,,,,,,,325,,,205,,,350,.NB,880,...,519.64,,,
6,Trascinelli/Stefa/65,108.3,Italy,,,,,,,,315,,,192.5,,,342.5,,,850,...,502.69,,,,
7,Yoshida/Tatsuya/50,,109.7,Japan,,,,,,,,320,,,215,,,300,,,835,...,491.81,,,
8,Logan/Andrew/66,,,,108.5,Australia,,,,,,315,,,170,,,315,,,800,...,472.8,,,
9,Kool/Mario/70,,,,,109.9,Holland,,,,,,,280,,,207.5,,,312.5,,,800,...,470.96,
10,Pomana/Derek/66,,,,109.1,New,Zeeland,,,,,360,,,60,,,,352.5,,,772.5,...,455.77,,
11,Hansen/Jesper/74,,,109.3,Denmark,,,,,,,290,,,200,,,275,,,765,...,451.12,,,
12,Liang/Huai,Chin/67,,109.9,Chin.Taipei,,,,,355,,,180,,,220,,,755,.NB,444.46,,,,,
13,Henderson/Bill/60,,,107.7,New,Zeeland,,,,,280,,,177.5,,,285,,,742.5,...,439.85,,,,
14,Samper/Julio,Cesa/60,105.5,Colombia,,,,,,280,,,150,,,280,,,710,...,423.58,,,,,
15,Bontekoning/Edwar/72,103.1,Holland,,,,,,,287.5,,,150,,,260,,,697.5,...,419.54,,,,,
16,Chen/Ching,Tsung/79,,109.4,Chin.Taipei,,,,,250,,,160,,,250,,,660,...,389.07,,,,,
17,Nastran/Robert/74,,,108.7,Slovenia,,,,,,250,,,142.5,,,240,,,632.5,...,373.61,,,,
,Esparza/Cesar,M/70,,105.9,Mexico,,,,,,,220,,,140,,,230,,,590,...,351.52,,,
--.,Khanna/Parveen/67,,,102.8,India,,,,,,,,250,,,0,,,0,,,---.-,Disq,150.52,,
-125,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
1,Podtynni/Maxim/72,,,124.1,Russia,,,,,,,405,.NB,222.5,,,375,,,1002.5,.NB,572.12,,,,
2,Jonsson/Audunn/72,,,122.5,Iceland,,,,,,,390,,,242.5,,,367.5,,,1000,...,572.3,,,
3,Muravliov/Volodym/75,119.6,Ukraina,,,,,,,385,,,230,,,350,,,965,...,555.26,,,,,
4,Ljungberg/Jörgen/67,,115.6,Sweden,,,,,,,365,,,230,,,355,.NB,950,.NB,551.28,,,,,
5,Leiato/Tony/65,,,,124,US.America,,,,,350,,,262.5,,,330,,,942.5,.NB,537.97,,,,
6,Abrutis/Antanas/69,,112.3,Lithuania,,,,,,367.5,.NR,217.5,,,345,.NR,930,.NR,543.95,,,,,,,
7,Lehto/Karl,Ove/72,,,124.5,Finland,,,,,,,327.5,,,240,,,335,,,902.5,.NB,514.69,,
8,Pomana/Wayne/69,,,,122.4,New,Zeeland,,,,,365,,,230,,,300,,,895,...,512.29,,,
9,McGetigan/Pat/70,,,124.6,US.America,,,,,320,,,205,,,365,,,890,...,507.47,,,,,
10,Rydheim/Tor-O./71,,,121.3,Norway,,,,,,,335,.NB,195,.NB,330,,,860,.NB,493.21,,,,,
11,Wamsteeker/Wim/69,,,125,Holland,,,,,,,325,,,205,,,320,,,850,..,,484.33,,
12,Celio/Ralph/64,,,,116.5,Canada,,,,,,,340,,,195,,,310,,,845,...,489.33,,
13,Vikberg/Johan/75,,,125,Sweden,,,,,,,300,,,245,,,290,,,835,...,475.78,,,
14,Ferguson/Alan/46,,,110.9,R.S.Afrika,,,,,315,.NB,185,,,317.5,WRM,817.5,.NB,479.87,,,,,,,
15,Rangihura/Tiri/72,,,120.2,New,Zeeland,,,,,320,,,190,,,300,,,810,...,465.5,,,,
16,Djanklych/Arsen/76,,121.3,Uzbekistan,,,,,310,,,180,,,310,,,800,...,458.8,,,,,,
17,Roberts/Gary/66,,,,123,Australia,,,,,,310,,,180,,,265,,,755,...,431.7,,,
18,Conrado/Julio,Cae/65,116,Brazil,,,,,,,290,,,187.5,,,250,,,727.5,...,421.73,,,,
19,Neele/Mark/75,,,,,110.4,Holland,,,,,,,280,,,170,,,260,,,710,...,417.33,
--.,Novak/Boris/73,,,,121.4,Slovenia,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,
--.,Midote/Daisuke/72,,,124.1,Japan,,,,,,,,390,,,0,,,0,,,---.-,Disq,222.57,,
125,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gurianov/Maxim/75,,,135.5,Russia,,,,,,,395,,,267.5,,,372.5,,,1035,.NR,581.25,,,
2,Gillingham/Brad/63,,145.7,US.America,,,,,375,,,267.5,,,377.5,,,1020,.NB,566.71,,,,,,
3,Naleikin/Viktor/53,,132.3,Ukraina,,,,,,,400,,,240,,,360,,,1000,...,563.9,,,,
4,Meszaros/Tibor/67,,,151.9,Hungary,,,,,,,390,,,225,,,370,,,985,...,544.01,,,
5,Savickas/Zzdrunas/75,151.9,Lithuania,,,,,,400,.NR,240,,,340,,,980,...,541.25,,,,,,,
6,Orobets/Vasyl/66,,,165.6,Ukraina,,,,,,,390,,,220,,,340,,,950,...,518.13,,,
7,Sedmik/Zdenek/74,,,131.6,Czechia,,,,,,,340,,,245,.NR,330,,,915,.NR,516.42,,,,
8,Wahlguist/Johnny/73,,139,Sweden,,,,,,,350,,,225,,,325,,,900,...,503.46,,,,
9,Naude/Francois/66,,,147.1,R.S.Afrika,,,,,355,,,215,,,315,,,885,...,490.99,,,,,
10,Kossen/Michel/69,,,151.5,Holland,,,,,,,335,,,230,.NB,305,,,870,...,480.67,,,,
11,Chao/Chien,Hsiung/69,133.6,Chin.Taipei,,,,,300,,,125,,,320,,,745,...,419.36,,,,,,
12,Chang/Chung,Kai/78,,139.3,Chin.Taipei,,,,,250,,,130,,,200,,,580,...,324.33,,,,,
--.,Maekelae/Raimo/62,,,130.1,Sweden,,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,
--.,Jansen,vJorksveld/60,146.8,Holland,,,,,,,70,,,,0,,,0,,,---.-,Disq,38.85,,,
