Place,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
11,Sikri Manish,1978,IND,95,205,220,225,225,140,140,145,145,235,255,262.5,262.5,620,100,Junior,SBD,M,Single-ply
DQ,Ed Koo,1977,USA,96.9,237.5,237.5,,237.5,,,,,,,,,,100,Junior,SBD,M,Single-ply
1,Sergey Karnaukhov,1978,UKR,108.5,350,362.5,362.5,362.5,200,207.5,210,210,322.5,325,330,330,900,110,Junior,SBD,M,Single-ply
2,Andrey Malanichev,1977,RUS,108,350,360,360,360,205,207.5,210,210,310,322.5,327.5,327.5,897.5,110,Junior,SBD,M,Single-ply
3,Hannu Kopola,1978,FIN,109,285,295,305,305,190,190,195,195,305,317.5,325,325,825,110,Junior,SBD,M,Single-ply
4,Rene Luedtke,1976,GER,107.6,275,287.5,295,295,222.5,227.5,232.5,232.5,270,285,295,295,822.5,110,Junior,SBD,M,Single-ply
5,Tommi Paavilainen,1976,FIN,109,290,300,300,300,190,197.5,200,200,302.5,310,322.5,322.5,820,110,Junior,SBD,M,Single-ply
6,Piotr Korzeb,1978,POL,105.8,320,320,320,320,210,215,220,220,270,280,282.5,282.5,817.5,110,Junior,SBD,M,Single-ply
7,Oliver Martin,1976,FRA,107.6,285,295,295,295,230,237.5,237.5,237.5,270,270,290,290,785,110,Junior,SBD,M,Single-ply
8,Jørn Høyset,1979,NOR,105.7,280,290,300,300,160,170,175,175,310,315,315,315,780,110,Junior,SBD,M,Single-ply
9,Radek Juracka,1976,CZE,109.6,260,270,285,285,175,190,,190,280,305,320,320,765,110,Junior,SBD,M,Single-ply
10,Gabor Hornak,1977,HUN,103,250,260,270,270,190,200,200,200,235,250,265,265,710,110,Junior,SBD,M,Single-ply
11,Dipak Gupta,1976,IND,109,230,240,255,255,140,140,,140,240,270,270,270,620,110,Junior,SBD,M,Single-ply
1,Vladimir Bondarenko,1978,RUS,124.6,320,340,360,360,215,225,230,230,320,335,351,351,920,125,Junior,SBD,M,Single-ply
2,Matthias Bache-Gabrielsen,1976,NOR,118.6,330,340,350,350,205,212.5,215,215,275,285,290,290,852.5,125,Junior,SBD,M,Single-ply
3,Andy-Elvis Dörner,1976,GER,117.2,330,345,355,355,180,187.5,192.5,192.5,285,302.5,310,310,845,125,Junior,SBD,M,Single-ply
4,Tony Cardella,1977,USA,123,320,335,335,335,210,215,225,225,300,312.5,312.5,312.5,845,125,Junior,SBD,M,Single-ply
5,Ryan Goldin,1976,USA,112.5,277.5,302.5,312.5,312.5,225,237.5,242.5,242.5,262.5,277.5,295,295,827.5,125,Junior,SBD,M,Single-ply
6,Martin Borg,1979,SWE,114.2,285,300,300,300,200,205,215,215,275,290,305,305,790,125,Junior,SBD,M,Single-ply
7,Arvind Sharma,1980,IND,117.1,250,265,275,275,155,170,172.5,172.5,280,295,305,305,742.5,125,Junior,SBD,M,Single-ply
8,David Woolcock,1977,GBR,114.4,260,272.5,272.5,272.5,190,197.5,200,200,250,260,262.5,262.5,732.5,125,Junior,SBD,M,Single-ply
9,Bruno Maltais,1976,CAN,118.8,252.5,252.5,272.5,272.5,170,175,180,180,260,272.5,277.5,277.5,710,125,Junior,SBD,M,Single-ply
10,Tomohiro Yamamoto,1978,JPN,119.1,240,255,270,270,175,185,190,190,240,255,267.5,267.5,695,125,Junior,SBD,M,Single-ply
DQ,Mario Sterkl,1977,AUT,120.5,275,295,305,305,175,175,175,175,,,,,,125,Junior,SBD,M,Single-ply
1,Roman Ukraintsev,1977,RUS,149.6,330,350,,350,220,230,240,240,320,335,,335,915,125+,Junior,SBD,M,Single-ply
2,Andrew Thompson,1976,GBR,148.1,265,335,345,345,205,215,220,220,290,310,,310,875,125+,Junior,SBD,M,Single-ply
3,Mike O' Donnel,1976,USA,126.1,300,300,330,330,185,195,200,200,255,275,285,285,815,125+,Junior,SBD,M,Single-ply
4,Chung-Kai Chang,1978,TPE,141.3,265,282.5,300,300,150,165,,165,230,,,230,677.5,125+,Junior,SBD,M,Single-ply
